cam,features,mol_subtype
-0.11904998,Median_nuclei_AreaShape_Zernike_7_7,luminal
-0.14872359,Median_nuclei_AreaShape_Zernike_8_0,luminal
-0.14834666,Median_nuclei_AreaShape_Zernike_8_2,luminal
-0.17012532,Median_nuclei_AreaShape_Zernike_8_4,luminal
-0.17470962,Median_nuclei_AreaShape_Zernike_8_6,luminal
-0.19178142,Median_nuclei_AreaShape_Zernike_8_8,luminal
-0.16647488,Median_nuclei_AreaShape_Zernike_9_1,luminal
-0.15088189,Median_nuclei_AreaShape_Zernike_9_3,luminal
-0.14160995,Median_nuclei_AreaShape_Zernike_9_5,luminal
-0.10008374,Median_nuclei_AreaShape_Zernike_9_7,luminal
-0.051194485,Median_nuclei_AreaShape_Zernike_9_9,luminal
-0.037062697,Median_nuclei_Intensity_IntegratedIntensityEdge_Hematoxylin,luminal
-0.046709746,Median_nuclei_Intensity_IntegratedIntensity_Hematoxylin,luminal
-0.049990743,Median_nuclei_Intensity_LowerQuartileIntensity_Hematoxylin,luminal
-0.048845865,Median_nuclei_Intensity_MADIntensity_Hematoxylin,luminal
-0.031120975,Median_nuclei_Intensity_MassDisplacement_Hematoxylin,luminal
-0.022350214,Median_nuclei_Intensity_MaxIntensityEdge_Hematoxylin,luminal
-0.024946036,Median_plasm_AreaShape_MinFeretDiameter,luminal
-0.01386931,Median_plasm_AreaShape_MinorAxisLength,luminal
-0.024727939,Median_plasm_AreaShape_Orientation,luminal
-0.031042352,Median_plasm_AreaShape_Zernike_1_1,luminal
-0.048041668,Median_plasm_AreaShape_Zernike_2_0,luminal
-0.049551107,Median_plasm_AreaShape_Zernike_2_2,luminal
-0.06516848,Median_plasm_AreaShape_Zernike_3_1,luminal
-0.052461807,Median_plasm_AreaShape_Zernike_3_3,luminal
-0.03975447,Median_plasm_AreaShape_Zernike_4_0,luminal
-0.027047135,Median_plasm_AreaShape_Zernike_4_2,luminal
-0.014340485,Median_plasm_AreaShape_Zernike_4_4,luminal
-0.009798152,Median_plasm_AreaShape_Zernike_5_1,luminal
-0.022025317,Median_plasm_AreaShape_Zernike_5_3,luminal
-0.0037849483,Median_plasm_AreaShape_Zernike_5_5,luminal
-0.0014068426,Median_plasm_AreaShape_Zernike_8_8,luminal
-0.002516595,Median_plasm_AreaShape_Zernike_9_1,luminal
-0.010244665,Median_plasm_AreaShape_Zernike_9_3,luminal
-0.023540197,Median_plasm_AreaShape_Zernike_9_7,luminal
-0.055767514,Median_plasm_AreaShape_Zernike_9_9,luminal
-0.08029815,Median_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin,luminal
-0.0958548,Median_plasm_Intensity_IntegratedIntensity_Hematoxylin,luminal
-0.08204358,Median_plasm_Intensity_LowerQuartileIntensity_Hematoxylin,luminal
-0.05696584,Median_plasm_Intensity_MADIntensity_Hematoxylin,luminal
-0.04973101,Median_plasm_Intensity_MassDisplacement_Hematoxylin,luminal
-0.042495795,Median_plasm_Intensity_MaxIntensityEdge_Hematoxylin,luminal
-0.051229846,Median_plasm_Intensity_MaxIntensity_Hematoxylin,luminal
-0.02802575,Median_plasm_Intensity_MeanIntensityEdge_Hematoxylin,luminal
-0.020790525,Median_plasm_Intensity_MeanIntensity_Hematoxylin,luminal
-0.0048254607,Median_plasm_Intensity_MedianIntensity_Hematoxylin,luminal
-0.0024786303,Median_plasm_Intensity_StdIntensityEdge_Hematoxylin,luminal
-0.046992287,Median_plasm_Intensity_StdIntensity_Hematoxylin,luminal
-0.091508366,Median_plasm_Intensity_UpperQuartileIntensity_Hematoxylin,luminal
-0.080655925,Median_plasm_Location_CenterMassIntensity_X_Hematoxylin,luminal
-0.06624656,Median_plasm_Location_CenterMassIntensity_Y_Hematoxylin,luminal
-0.041317668,Median_plasm_Location_Center_X,luminal
-0.062368803,Median_plasm_Location_Center_Y,luminal
